Charge Description,Charge Price,$0 Charge Type,Per Minute Rate
DUPLEX SCAN EXTRACRANIAL ART UNI/LMTD STUDY                                     ,$725.00 ,,
DUPLEX SCAN HEMODIALYSIS ACCESS                                                 ,$567.00 ,,
DUP-SCAN AORTA IVC ILIAC VASCL/BPGS COMPLETE                                    ,$933.00 ,,
DUP-SCAN AORTA IVC ILIAC VASCL/BPGS UNI/LMTD                                    ,$567.00 ,,
DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN COM                                  ,"$1,020.00 ",,
DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN LMT                                  ,$934.00 ,,
DUP-SCAN LXTR ART/ARTL BPGS COMPL BI STUDY                                      ,"$1,041.00 ",,
DUP-SCAN LXTR ART/ARTL BPGS UNI/LMTD STUDY                                      ,$629.00 ,,
DUP-SCAN UXTR ART/ARTL BPGS COMPL BI STUDY                                      ,$933.00 ,,
DUP-SCAN UXTR ART/ARTL BPGS UNI/LMTD STUDY                                      ,$649.00 ,,
DUP-SCAN XTR VEINS COMPLETE BILATERAL STUDY                                     ,$933.00 ,,
DUP-SCAN XTR VEINS UNILATERAL/LIMITED STUDY                                     ,$600.00 ,,
DXA BONE DENSITY STUDY 1/> SITES AXIAL SKEL                                     ,$233.00 ,,
DXA BONE DENSITY STUDY 1/>SITES APPENDICLR SKEL                                 ,$105.00 ,,
DXA BONE DENSITY STUDY AXIAL SKELETON                                           ,$343.00 ,,
"EAR, NOSE AND THROAT SURGICAL SUPPLIES",$0.00 ,Invoice-based charges,
ECG ROUTINE ECG W/LEAST 12 LDS TRCG ONLY W/O I&R                                ,$226.00 ,,
ECG ROUTINE ECG W/LEAST 12 LDS W/I&R                                            ,$410.00 ,,
ECHO FETAL CARDIOVASC W/WO M-MODE RECORDING                                     ,"$1,769.00 ",,
ECHO FETAL CARDIOVASC W/WO M-MODE REPEAT STD                                    ,"$1,355.00 ",,
ECHO R-T 2D W/PROBE PLACEMENT ONLY                                              ,"$3,098.00 ",,
ECHO TEE GUID TCAT ICAR/VESSEL STRUCTURAL INTVN                                 ,"$1,815.00 ",,
ECHO TRANSESOPHAG CONGEN PROBE PLCMT IMGNG I&R                                  ,"$3,098.00 ",,
ECHO TRANSESOPHAG MONTR CARDIAC PUMP FUNCTJ                                     ,"$3,321.00 ",,
ECHO TRANSESOPHAG R-T 2D W/PRB IMG ACQUISJ I&R                                  ,"$2,226.00 ",,
ECHO TRANSTHORAC R-T 2D W/WO M-MODE REC COMP                                    ,"$1,478.00 ",,
ECHO TRANSTHORC R-T 2D W/WO M-MODE REC F-UP/LMTD                                ,"$1,057.00 ",,
ECHO TTHRC R-T 2D W/WO M-MODE COMPLETE REST&ST                                  ,"$1,738.00 ",,
ECHO TTHRC R-T 2D W/WO M-MODE REST&STRS CONT ECG                                ,"$2,937.00 ",,
ECHO TTHRC R-T 2D W/WOM-MODE COMPL SPEC&COLR D                                  ,"$2,131.00 ",,
ECHOENCEPHALOGRAPHY REAL TIME IMAGING                                           ,$456.00 ,,
ECULIZUMAB INJECTION 10 MG,$0.00 ,Invoice-based charges,
EEG NONINTRACRANIAL SURGERY                                                     ,"$3,228.00 ",,
EGD BALLOON DILATION ESOPHAGUS <30 MM DIAM                                      ,"$2,258.00 ",,
EGD FLEX REMOVAL LESION(S) BY HOT BIOPSY FORCEPS                                ,"$1,241.00 ",,
EGD FLEXIBLE FOREIGN BODY REMOVAL                                               ,"$1,905.00 ",,
EGD INSERT GUIDE WIRE DILATOR PASSAGE ESOPHAGUS                                 ,"$1,653.00 ",,
EGD INTRALUMINAL TUBE/CATHETER INSERTION                                        ,$981.00 ,,
EGD PARTIAL/COMPL ESOPHAGOGASTRIC FUNDOPLASTY                                   ,"$4,275.00 ",,
EGD PERCUTANEOUS PLACEMENT GASTROSTOMY TUBE                                     ,"$1,752.00 ",,
EGD REMOVAL TUMOR POLYP/OTHER LESION SNARE TECH                                 ,"$2,267.00 ",,
EGD TRANSORAL BIOPSY SINGLE/MULTIPLE                                            ,$999.00 ,,
EGD TRANSORAL CONTROL BLEEDING ANY METHOD                                       ,"$1,905.00 ",,
ELASTASE PANCREATIC FECAL QUAL/SEMI-QUAN                                        ,$342.00 ,,
ELEC ALYS IMPLT NPGT CPLX SP/PN PRGRMG                                          ,"$1,510.00 ",,
ELEC ALYS IMPLT NPGT PHYS/QHP W/O PROGRAMMING                                   ,"$1,736.00 ",,
ELEC ALYS IMPLT NPGT SMPL SP/PN NPGT PRGRMG                                     ,"$1,736.00 ",,
ELEC ALYS NSTIM PLS GEN CPLX CRNL NRV 1ST HR                                    ,$461.00 ,,
ELEC ALYS NSTIM PLS GEN CPLX CRNL NRV EA 30 MIN                                 ,$461.00 ,,
ELEC ALYS NSTIM PLS GEN GASTRIC SBSQ W/REPRGRMG                                 ,$462.00 ,,
ELEC ANLYS IMPLT ITHCL/EDRL PMP W/REPR PHYS/QHP                                 ,$606.00 ,,
ELECT ANALYS IMPLT ITHCL/EDRL PUMP W/REPRGRMG                                   ,"$1,839.00 ",,
ELECT ANLYS IMPLT ITHCL/EDRL PMP W/O REPRG/REFIL                                ,"$1,839.00 ",,
ELECT ANLYS IMPLT ITHCL/EDRL PMP W/REPRG&REFIL                                  ,$530.00 ,,
"ELECTRICAL STIMULATION (UNATTENDED), TO ONE OR MORE ARE                         ",$110.00 ,,
ELECTRICAL STIMULATION GUID W/CHEMODENERVATION                                  ,$374.00 ,,
"ELECTROCARDIOGRAM, ROUTINE ECG WITH 12 LEADS; INTERPRET                         ",$10.00 ,,
"ELECTROCARDIOGRAM, ROUTINE ECG WITH 12 LEADS; PERFORMED                         ",$33.00 ,,
"ELECTROCARDIOGRAM, ROUTINE ECG WITH 12 LEADS; TRACING O                         ",$136.00 ,,
ELECTROCONVULSIVE THERAPY                                                       ,"$1,310.00 ",,
ELECTROCORTICOGRAM SURGERY SPX                                                  ,"$2,807.00 ",,
ELECTROENCEPHALOGRAM CERE DEATH EVAL ONLY                                       ,"$1,024.00 ",,
ELECTROENCEPHALOGRAM EXTEND MONITORING 41-60 MIN                                ,$980.00 ,,
ELECTROENCEPHALOGRAM EXTND MNTR >1 HR                                           ,"$1,107.00 ",,
ELECTROENCEPHALOGRAM REC COMA/SLEEP ONLY                                        ,$404.00 ,,
ELECTROENCEPHALOGRAM W/REC AWAKE&ASLEEP                                         ,"$1,269.00 ",,
ELECTROENCEPHALOGRAM W/REC AWAKE&DROWSY                                         ,"$1,269.00 ",,
ELECTROGASTROGRAPHY DX TRANSCUTANEOUS                                           ,$365.00 ,,
ELECTROLYTE PANEL                                                               ,$100.00 ,,
ELECTRON MICROSCOPY DIAGNOSTIC                                                  ,"$1,235.00 ",,
ELECTRONIC ANALYSIS ANTITACHY PACEMAKER SYSTEM                                  ,"$3,518.00 ",,
ELECTROPHYSIOLOGIC FOLLOW-UP W/PAC/REC W/ARRHYT                                 ,"$3,687.00 ",,
ELECTROPHYSIOLOGY LAB SUPPLIES,$0.00 ,Invoice-based charges,
"ELLIOT'S B SOLUTION, 1ML",$0.00 ,Invoice-based charges,
EMBLC/THRMBC AX BRACH INNOMINATE SUBCLA ART                                     ,"$1,755.00 ",,
EMBLC/THRMBC CATH CRTD SUBCLA/INNOMINATE ART                                    ,"$1,755.00 ",,
EMBLC/THRMBC FEMORAL POPLITEAL AORTO-ILIAC ART                                  ,"$1,755.00 ",,
EMBLC/THRMBC INNOMINATE SUBCLAVIAN ARTERY                                       ,"$1,755.00 ",,
EMBLC/THRMBC POPLITEAL-TIBIO-PRONEAL ART LEG INC                                ,"$1,755.00 ",,
EMBLC/THRMBC RNL CELIAC MESENTRY AORTO-ILIAC ART                                ,"$1,755.00 ",,
EMBLC/THRMBC W/WO CATH RADIAL/ULNAR ART ARM INC                                 ,"$1,755.00 ",,
EMBOLIZATION PROTECTIVE SYSTEM                                                  ,"$6,400.00 ",,
EMERGENCY DEPARTMENT VISIT HIGH/URGENT SEVERITY                                 ,$967.00 ,,
EMERGENCY DEPARTMENT VISIT LIMITED/MINOR PROB                                   ,$236.00 ,,
EMERGENCY DEPARTMENT VISIT LOW/MODER SEVERITY                                   ,$383.00 ,,
EMERGENCY DEPARTMENT VISIT MODERATE SEVERITY                                    ,$601.00 ,,
EMERGENCY DEPT VISIT HIGH SEVERITY&THREAT FUNCJ                                 ,"$1,436.00 ",,
EMERGENCY POWER SOURCE FOR USE WITH ELECTRIC/PNEUMATIC                          ,"$1,700.00 ",,
EMERGENCY POWER SUPPLY CABLE FOR USE WITH ELECTRIC/PNEU                         ,$390.00 ,,
EMG STDS ANAL/URTL SPHNCTR OTH/THN NDL                                          ,$616.00 ,,
EMTRICITABINE-TNFVR TRUVDA TAB,$0.00 ,Invoice-based charges,
ENDOCERVICAL CURETTAGE NOT DONE AS PART OF D&C                                  ,"$3,362.00 ",,
ENDOLUMINAL BX BILIARY TREE PRQ ANY METH 1/MLT                                  ,"$1,463.00 ",,
ENDOLUMINAL BX URTR &/RNL PELVIS NONENDOSCOPIC                                  ,"$8,976.00 ",,
ENDOMETRIAL BX CONJUNCT W/COLPOSCOPY                                            ,$926.00 ,,
ENDOMETRIAL BX W/WO ENDOCERVIX BX W/O DILAT SPX                                 ,$706.00 ,,
ENDOSCOPIC CATHJ BILIARY DUCTAL SYSTEM RS&I                                     ,$548.00 ,,
ENDOSCOPIC CATHJ PANCREATIC DUCTAL SYS RS&I                                     ,$937.00 ,,
ENDOSCOPIC SURGICAL SUPPLIES,$0.00 ,Invoice-based charges,
ENDOVASCULAR SURGICAL SUPPLIES,$0.00 ,Invoice-based charges,
ENDOVEN ABLTI THER CHEM ADHESIVE 1ST VEIN                                       ,"$7,907.00 ",,
ENDOVEN ABLTI THER CHEM ADHESIVE SBSQ VEIN                                      ,"$7,907.00 ",,
ENDOVEN ABLTJ INCMPTNT VEIN XTR LASER 1ST VEIN                                  ,"$6,994.00 ",,
ENDOVEN ABLTJ INCMPTNT VEIN XTR LASER 2ND+ VEINS                                ,"$6,994.00 ",,
ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 1ST VEIN                                     ,"$7,907.00 ",,
ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 2ND+ VEINS                                   ,"$7,907.00 ",,
ENOXAPARIN; INJ 10 MG,$0.00 ,Invoice-based charges,
ENTEROSCOPY > 2ND PRTN CONV GSTRST TUBE                                         ,$385.00 ,,
ENTEROSCOPY > 2ND PRTN TNDSC STENT PLMT                                         ,$679.00 ,,
ENVIRONMENTAL IVNTJ MGMT PURPOSES PSYC PT                                       ,$312.00 ,,
EPHYS EVAL PACG CVDFB LDS INITIAL IMPLAN/REPLACE                                ,"$2,853.00 ",,
EPHYS EVAL PACG CVDFB LDS W/TSTG OF PULSE GEN                                   ,"$5,551.00 ",,
EPHYS EVAL PACG CVDFB PRGRMG/REPRGRMG PARAMETERS                                ,"$3,376.00 ",,
EPHYS EVAL SUBQ IMPLANTABLE DEFIBRILLATOR                                       ,"$2,853.00 ",,
EPHYS EVAL W/ABLATION SUPRAVENT ARRHYTHMIA                                      ,"$32,851.00 ",,
EPHYS EVAL W/ABLATION VENTRICULAR TACHYCARDIA                                   ,"$32,851.00 ",,
EPHYS EVL TRNSPTL TX ATRIAL FIB ISOLAT PULM VEIN                                ,"$32,851.00 ",,
EPIDERMAL AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/<                                 ,"$7,907.00 ",,
EPIDUROGRAPY RS&I                                                               ,$469.00 ,,
EPISIOTOMY/VAG RPR OTH/THN ATTENDING                                            ,"$2,497.00 ",,
"EPOETIN ALFA, 100 UNITS, ESRD",$0.00 ,Invoice-based charges,
ERCP DESTRUCTION/LITHOTRIPSY CALCULI ANY METHOD                                 ,"$2,413.00 ",,
ERCP REMOVE CALCULI/DEBRIS BILIARY/PANCREAS DUCT                                ,$963.00 ,,
ERIBULIN MESYLATE INJCT 0.1 MG,$0.00 ,Invoice-based charges,
ERLOTINIB,$0.00 ,Invoice-based charges,
ESOMEPRAZOLE SODIUM INJ,$0.00 ,Invoice-based charges,
ESOPHAGEAL MOTILITY STUDY W/INTERP&RPT                                          ,"$1,591.00 ",,
ESOPHAGOGASTRODUODENOSCOPY TRANSORAL DIAGNOSTIC                                 ,"$1,927.00 ",,
ESOPHAGOSCOPY FLEX BALLOON DILAT <30 MM DIAM                                    ,"$2,100.00 ",,
ESOPHAGOSCOPY FLEXIBLE GUIDE WIRE DILATION                                      ,"$1,074.00 ",,
ESOPHAGOSCOPY FLEXIBLE REMOVAL FOREIGN BODY                                     ,"$1,037.00 ",,
ESOPHAGOSCOPY FLEXIBLE TRANSNASAL DIAGNOSTIC                                    ,"$2,358.00 ",,
ESOPHAGOSCOPY FLEXIBLE TRANSNASAL WITH BIOPSY                                   ,"$2,358.00 ",,
ESOPHAGOSCOPY FLEXIBLE TRANSORAL DIAGNOSTIC                                     ,$758.00 ,,
ESOPHAGOSCOPY FLEXIBLE TRANSORAL WITH BIOPSY                                    ,$868.00 ,,
ESOPHAGUS ACID PERFUSION TEST ESOPHAGITIS                                       ,$290.00 ,,
ESOPHGL FUNCJ G-ESOP RFLX IMPD ELTRD PROLNG                                     ,"$3,947.00 ",,
ESOPHGL REC ATRIAL W/WO VENTR ELECTRGRAMS W/PACG                                ,"$1,607.00 ",,
ESOPHGL REC ATRIAL W/WO VENTRICULAR ELECTROGRAMS                                ,$603.00 ,,
ESTRADIOL VALERATE INJ 10MG,$0.00 ,Invoice-based charges,
"ESTROGEN CONJUGATED,PER 25 MG",$0.00 ,Invoice-based charges,
"ETONOGESTREL (CONTRACEPTIVE) IMPLANT SYSTEM, INCLUDING                          ","$2,803.50 ",,
ETOPOSIDE 10 MG,$0.00 ,Invoice-based charges,
"ETOPOSIDE, ORAL, 50MG",$0.00 ,Invoice-based charges,
"ETOPOSIDE, ORAL, 50MG (BR)",$0.00 ,Invoice-based charges,
EUGLOBULIN LYSIS                                                                ,$117.00 ,,
EVACUATION SUBUNGUAL HEMATOMA                                                   ,$418.00 ,,
EVAL C/V AMNIOTIC FLUID PROTEIN QUAL EA SPECIMEN                                ,$301.00 ,,
EVAL ORAL&PHARYNGEAL SWLNG FUNCJ                                                ,$722.00 ,,
EVAL SPEECH SOUND PRODUCT LANGUAGE COMPREHENSION                                ,$535.00 ,,
EVAL&/FITG VOICE PROSTC DEV SUPLMNT ORAL SPEEC                                  ,$583.00 ,,
EVALUATION OF SPEECH FLUENCY (STUTTER CLUTTER)                                  ,$535.00 ,,
EVALUATION OF SPEECH SOUND PRODUCTION ARTICULATE                                ,$535.00 ,,
EVASC INTRACRANIAL PROLNG ADMN RX AGENT ART 1ST                                 ,"$2,153.00 ",,
EVASC INTRACRANIAL PROLNG ADMN RX AGENT ART ADDL                                ,"$2,153.00 ",,
EVASC PLACEMENT ILIAC ARTERY OCCLUSION DEVICE                                   ,"$3,995.00 ",,
EVASC RPR DESCND THORCIC AORTA CELIAC ORIG RS&I                                 ,"$4,375.00 ",,
EVASC RPR DESCND THORCIC AORTA SUBCLAV ORIG RS&I                                ,"$4,375.00 ",,
EVASC RPR DPLMNT AORTO-AORTIC NDGFT                                             ,"$7,906.00 ",,
EVASC RPR DPLMNT AORTO-AORTIC NDGFT RPT                                         ,"$7,906.00 ",,
EVASC RPR DPLMNT AORTO-BI-ILIAC NDGFT                                           ,"$7,906.00 ",,
EVASC RPR DPLMNT AORTO-BI-ILIAC NDGFT RPT                                       ,"$7,906.00 ",,
EVASC RPR DPLMNT AORTO-UN-ILIAC NDGFT                                           ,"$7,906.00 ",,
EVASC RPR DPLMNT AORTO-UN-ILIAC NDGFT RPT                                       ,"$7,906.00 ",,
EVASC RPR DPLMNT ILIO-ILIAC NDGFT                                               ,"$7,906.00 ",,
EVASC RPR DPLMNT ILIO-ILIAC NDGFT RPT                                           ,"$7,906.00 ",,
EVASC RPR DTA COVERAGE ART ORIGIN 1ST ENDOPROSTH                                ,"$4,594.00 ",,
EVASC RPR DTA EXP COVERAGE W/O ART ORIGIN                                       ,"$4,594.00 ",,
EVASC TEMP BALLOON ARTL OCCLUSION HEAD/NECK                                     ,"$1,720.00 ",,
"EVENT RECORDER, CARDIAC (IMPLANTABLE)                                           ","$9,690.00 ",,
"EVEROLIMUS, ORAL, 0. 25 MG",$0.00 ,Invoice-based charges,
EVS-GRFT EXT AORT GORE 23X3.3,$0.00 ,Invoice-based charges,
EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.6-1.0CM                                 ,"$1,235.00 ",,
EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 1.1-2.0CM                                 ,"$2,358.00 ",,
EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 2.1-3.0CM                                 ,"$5,253.00 ",,
EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 3.1-4.0CM                                 ,"$2,358.00 ",,
EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M > 4.0CM                                ,"$5,253.00 ",,
EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M 0.5CM/<                                ,"$1,235.00 ",,
EXC B9 LESION MRGN XCP SK TG S/N/H/F/G > 4.0CM                                  ,"$5,213.00 ",,
EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.5 CM/<                                 ,"$2,358.00 ",,
EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM                                ,"$2,358.00 ",,
